  0%|          | 0/5000 [00:00<?, ?it/s][WARNING|logging.py:328] 2025-08-28 23:15:51,257 >> `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                   
{'loss': 0.0645, 'grad_norm': 0.1803320199251175, 'learning_rate': 1.7000000000000002e-06, 'epoch': 0.02}
{'loss': 0.0645, 'grad_norm': 0.22682155668735504, 'learning_rate': 1.72e-06, 'epoch': 0.02}
{'loss': 0.0606, 'grad_norm': 0.2778547406196594, 'learning_rate': 1.74e-06, 'epoch': 0.02}
{'loss': 0.0625, 'grad_norm': 0.17615696787834167, 'learning_rate': 1.76e-06, 'epoch': 0.02}
{'loss': 0.0615, 'grad_norm': 0.21418024599552155, 'learning_rate': 1.7800000000000001e-06, 'epoch': 0.02}
{'loss': 0.0627, 'grad_norm': 0.39938226342201233, 'learning_rate': 1.8000000000000001e-06, 'epoch': 0.02}
{'loss': 0.0637, 'grad_norm': 0.19895297288894653, 'learning_rate': 1.8200000000000002e-06, 'epoch': 0.02}
{'loss': 0.0639, 'grad_norm': 0.2539394199848175, 'learning_rate': 1.8400000000000002e-06, 'epoch': 0.02}
{'loss': 0.0616, 'grad_norm': 0.19118189811706543, 'learning_rate': 1.8600000000000002e-06, 'epoch': 0.02}
{'loss': 0.0611, 'grad_norm': 0.36720436811447144, 'learning_rate': 1.8800000000000002e-06, 'epoch': 0.02}
{'loss': 0.0644, 'grad_norm': 0.31667593121528625, 'learning_rate': 1.9000000000000002e-06, 'epoch': 0.02}
{'loss': 0.064, 'grad_norm': 0.19639916718006134, 'learning_rate': 1.9200000000000003e-06, 'epoch': 0.02}
{'loss': 0.0629, 'grad_norm': 0.3078647255897522, 'learning_rate': 1.94e-06, 'epoch': 0.02}
{'loss': 0.0631, 'grad_norm': 0.21710264682769775, 'learning_rate': 1.9600000000000003e-06, 'epoch': 0.02}
{'loss': 0.064, 'grad_norm': 0.2557829022407532, 'learning_rate': 1.98e-06, 'epoch': 0.02}
{'loss': 0.0599, 'grad_norm': 0.319354772567749, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.02}
{'loss': 0.0652, 'grad_norm': 0.17561258375644684, 'learning_rate': 2.02e-06, 'epoch': 0.02}
{'loss': 0.0615, 'grad_norm': 0.2362053394317627, 'learning_rate': 2.04e-06, 'epoch': 0.02}
